RecipeID,Recipe_Name,Ingredients,Cooking_Method,Total_Calories_per_Serving,Total_Protein_g,Total_Fat_g,Total_Carbs_g,Total_Fiber_g,Total_Vit_A_IU,Total_Vit_C_mg,Total_Vit_D_ug,Total_Vit_E_mg,Total_Iron_mg,Total_Calcium_mg,Total_Potassium_mg,Dosha_Suitability,Linked_FoodIDs
R00022,Recipe_22_Raita,"F001746:25,F008729:30,F000713:10,F007643:30,F002956:30,F009801:25,F004543:60,F000739:40",Fermented,608.4,30.77,31.29,58.72,16.08,1600.89,78.2,11.63,15.19,19.35,558.55,990.46,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Neutral,"F001746,F008729,F000713,F007643,F002956,F009801,F004543,F000739"
R00023,Recipe_23_Stew,"F006685:15,F004273:30,F007315:50,F009892:25",Fried,559.0,18.19,53.02,20.76,4.56,882.74,67.29,1.56,5.93,10.18,348.2,554.36,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,"F006685,F004273,F007315,F009892"
R00024,Recipe_24_Kheer,"F004416:20,F009334:40,F005005:60,F008655:20,F003474:40,F007115:15,F002262:15",Roasted,585.6,10.31,27.83,62.34,19.99,1264.86,46.52,8.09,5.79,20.68,272.55,835.88,Vata:Favorable;Pitta:Favorable;Kapha:Unfavorable,"F004416,F009334,F005005,F008655,F003474,F007115,F002262"
R00025,Recipe_25_Wrap,"F006723:10,F002538:25,F008200:20,F004884:20,F007249:75,F002432:25,F008355:25,F006241:15",Slow Cooked,479.2,19.23,16.1,93.63,10.37,1196.08,71.51,10.38,12.42,16.5,528.81,1023.37,Vata:Neutral;Pitta:Favorable;Kapha:Favorable,"F006723,F002538,F008200,F004884,F007249,F002432,F008355,F006241"
R00026,Recipe_26_Wrap,"F006331:100,F008081:20",Baked,195.7,3.58,9.92,10.52,2.56,727.36,50.26,3.18,4.83,15.33,135.9,321.03,Vata:Favorable;Pitta:Neutral;Kapha:Neutral,"F006331,F008081"
R00027,Recipe_27_Wrap,"F007936:25,F001822:15,F009728:25",Steamed,307.5,8.93,26.43,14.22,2.68,218.7,29.79,1.26,3.74,3.94,168.63,324.77,Vata:Favorable;Pitta:Favorable;Kapha:Neutral,"F007936,F001822,F009728"
R00028,Recipe_28_Raita,"F006843:30,F000078:60,F009381:100,F006774:100,F006971:30",Pressure Cooked,885.1,35.42,47.95,77.9,27.08,2001.14,158.2,20.25,6.13,22.92,471.99,1244.67,Vata:Favorable;Pitta:Neutral;Kapha:Unfavorable,"F006843,F000078,F009381,F006774,F006971"
R00029,Recipe_29_Pulao,"F004591:30,F007982:75,F004906:15,F003957:5,F008560:40,F001819:50,F001973:30",Fermented,665.1,17.46,46.45,65.66,22.17,828.98,54.92,12.22,12.7,18.82,568.07,1067.79,Vata:Neutral;Pitta:Favorable;Kapha:Favorable,"F004591,F007982,F004906,F003957,F008560,F001819,F001973"
R00030,Recipe_30_Stirfry,"F007260:30,F001508:75,F004400:60,F000595:60,F004948:5,F000121:15,F000622:25,F007920:30",Roasted,1289.3,18.87,103.22,64.45,9.67,1321.08,106.85,13.88,12.02,20.1,872.19,1333.23,Vata:Favorable;Pitta:Unfavorable;Kapha:Unfavorable,"F007260,F001508,F004400,F000595,F004948,F000121,F000622,F007920"
R00031,Recipe_31_Raita,"F005264:75,F002832:40,F003310:20,F008192:5,F004644:25,F007987:30,F007794:5",Fermented,895.6,7.28,75.75,49.94,3.54,1490.88,105.99,6.21,15.62,15.51,344.72,955.61,Vata:Favorable;Pitta:Neutral;Kapha:Unfavorable,"F005264,F002832,F003310,F008192,F004644,F007987,F007794"
R00032,Recipe_32_Salad,"F009100:10,F001455:60,F004175:50,F004485:30,F004218:50,F005918:10,F006011:5",Boiled,1006.8,19.72,65.8,84.73,12.36,1375.13,87.1,8.05,9.27,22.98,592.21,1229.26,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,"F009100,F001455,F004175,F004485,F004218,F005918,F006011"
R00033,Recipe_33_Pulao,"F005977:100,F002478:50",Grilled,454.6,5.75,6.1,53.55,25.3,1648.21,38.15,4.31,7.06,10.68,459.84,809.1,Vata:Favorable;Pitta:Neutral;Kapha:Neutral,"F005977,F002478"
R00034,Recipe_34_Raita,"F009674:10,F005321:40,F005669:25,F002872:40,F009243:5,F003885:5,F003726:30",Sauteed,210.4,16.29,17.89,7.14,3.84,689.19,61.03,5.46,8.7,7.98,208.17,773.99,Vata:Favorable;Pitta:Favorable;Kapha:Favorable,"F009674,F005321,F005669,F002872,F009243,F003885,F003726"
R00035,Recipe_35_Salad,"F009320:5,F000255:75,F002484:75,F004073:40,F006189:40,F007451:60,F004267:5,F004401:60",Fried,1170.7,31.98,93.53,56.18,12.87,1644.03,194.56,15.3,21.45,32.31,789.09,2040.1,Vata:Favorable;Pitta:Favorable;Kapha:Favorable,"F009320,F000255,F002484,F004073,F006189,F007451,F004267,F004401"
R00036,Recipe_36_Salad,"F001492:60,F006252:10,F001788:5",Fried,105.3,2.99,12.08,5.25,0.36,415.03,42.14,5.22,2.96,9.71,81.96,191.21,Vata:Unfavorable;Pitta:Neutral;Kapha:Favorable,"F001492,F006252,F001788"
R00037,Recipe_37_Stirfry,"F006543:60,F009174:25,F009276:25,F008822:15,F001320:40,F009587:75,F001703:10,F003358:15",Fried,717.6,16.46,49.51,53.6,10.36,1913.53,111.51,12.42,13.36,17.82,611.89,1312.45,Vata:Favorable;Pitta:Favorable;Kapha:Unfavorable,"F006543,F009174,F009276,F008822,F001320,F009587,F001703,F003358"
R00038,Recipe_38_Raita,"F003254:100,F003888:10,F002813:20,F002060:60",Boiled,196.0,4.54,4.71,32.31,10.18,1607.04,101.04,9.18,15.35,18.62,447.5,582.29,Vata:Unfavorable;Pitta:Neutral;Kapha:Favorable,"F003254,F003888,F002813,F002060"
R00039,Recipe_39_Curry,"F005908:15,F010000:30,F008850:5",Steamed,80.4,4.65,2.43,2.14,1.13,449.95,18.18,2.73,3.8,4.66,127.13,197.65,Vata:Favorable;Pitta:Neutral;Kapha:Neutral,"F005908,F010000,F008850"
R00040,Recipe_40_Dal,"F001807:50,F001587:15,F001684:5,F002077:5,F007191:30,F002165:20,F008153:75",Pressure Cooked,505.7,21.74,15.9,71.12,6.72,997.63,84.01,8.98,9.62,12.7,335.27,856.72,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Unfavorable,"F001807,F001587,F001684,F002077,F007191,F002165,F008153"
R00041,Recipe_41_Kheer,"F006218:25,F000402:50,F004259:75",Steamed,308.6,17.35,7.18,31.3,1.48,472.57,24.92,0.84,6.96,8.91,327.71,870.6,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,"F006218,F000402,F004259"
R00042,Recipe_42_Curry,"F006484:30,F006003:100,F002490:10,F001674:10,F002229:5,F008069:60,F002112:50",Pressure Cooked,597.9,32.77,38.73,46.2,10.86,2388.74,95.61,7.07,16.27,24.79,458.64,921.17,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Unfavorable,"F006484,F006003,F002490,F001674,F002229,F008069,F002112"
R00043,Recipe_43_Wrap,"F006502:5,F007347:15,F009563:75,F009675:75",Raw,751.0,17.95,91.74,9.44,0.66,1228.09,101.08,7.93,8.91,16.79,514.21,621.62,Vata:Neutral;Pitta:Unfavorable;Kapha:Unfavorable,"F006502,F007347,F009563,F009675"
R00044,Recipe_44_Kheer,"F004935:30,F005865:60,F003865:15,F003052:10,F005711:100,F009729:5",Pressure Cooked,620.8,14.29,36.5,71.25,23.64,1370.94,38.48,10.66,11.9,12.18,538.32,476.78,Vata:Neutral;Pitta:Neutral;Kapha:Neutral,"F004935,F005865,F003865,F003052,F005711,F009729"
R00045,Recipe_45_Stirfry,"F000490:50,F008230:40,F000124:100",Baked,438.8,14.8,13.42,74.5,39.61,1211.92,79.32,7.18,11.1,19.8,461.26,434.57,Vata:Neutral;Pitta:Neutral;Kapha:Favorable,"F000490,F008230,F000124"
R00046,Recipe_46_Salad,"F001579:75,F006541:5,F001235:50,F009887:60,F000704:25",Grilled,540.8,26.62,5.71,92.82,8.7,2081.0,103.01,9.43,5.82,11.4,456.52,816.7,Vata:Unfavorable;Pitta:Favorable;Kapha:Favorable,"F001579,F006541,F001235,F009887,F000704"
R00047,Recipe_47_Chutney,"F001487:30,F004930:15,F003487:60,F009555:10,F008936:20,F001004:10,F000671:60",Raw,325.4,16.65,12.2,44.36,19.68,1135.98,110.74,8.28,14.24,14.41,405.29,803.41,Vata:Favorable;Pitta:Favorable;Kapha:Neutral,"F001487,F004930,F003487,F009555,F008936,F001004,F000671"
R00048,Recipe_48_Wrap,"F008434:100,F001180:30,F009445:15",Pressure Cooked,191.2,0.91,14.19,24.99,6.25,429.44,99.6,1.87,9.45,10.68,176.6,538.68,Vata:Favorable;Pitta:Unfavorable;Kapha:Unfavorable,"F008434,F001180,F009445"
R00049,Recipe_49_Salad,"F003048:30,F005691:25,F000562:100,F008679:15",Boiled,635.3,20.8,35.13,54.92,15.38,990.62,69.65,6.02,8.93,16.24,421.25,553.25,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Favorable,"F003048,F005691,F000562,F008679"
R00050,Recipe_50_Curry,"F005425:50,F008829:15,F006681:20,F007348:25,F000320:20,F005560:60",Slow Cooked,867.2,13.01,80.61,29.85,7.05,1270.46,66.56,7.03,9.95,16.4,537.68,919.21,Vata:Unfavorable;Pitta:Neutral;Kapha:Favorable,"F005425,F008829,F006681,F007348,F000320,F005560"
R00051,Recipe_51_Raita,"F007829:75,F007253:15",Raw,209.6,19.27,8.96,10.82,0.27,463.76,17.19,2.97,3.98,8.56,288.23,567.99,Vata:Favorable;Pitta:Unfavorable;Kapha:Unfavorable,"F007829,F007253"
R00052,Recipe_52_Wrap,"F000120:5,F009711:30,F002147:15,F000620:60,F002388:5,F006980:100,F007858:5",Roasted,790.4,32.04,54.26,28.47,8.43,723.02,66.44,5.13,18.11,11.46,734.98,1005.55,Vata:Neutral;Pitta:Neutral;Kapha:Favorable,"F000120,F009711,F002147,F000620,F002388,F006980,F007858"
R00053,Recipe_53_Raita,"F005802:75,F006627:20",Grilled,138.4,4.52,0.85,17.47,4.64,247.17,49.0,5.47,5.25,6.61,359.17,410.88,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,"F005802,F006627"
R00054,Recipe_54_Wrap,"F006855:75,F004794:15,F003041:5,F004993:20,F007632:40,F008047:30",Grilled,679.8,33.7,42.62,31.46,9.7,1163.47,85.17,10.22,8.99,16.95,451.44,838.25,Vata:Favorable;Pitta:Favorable;Kapha:Favorable,"F006855,F004794,F003041,F004993,F007632,F008047"
R00055,Recipe_55_Curry,"F006535:5,F000647:60,F006952:60,F001490:60,F005714:25,F000310:75",Boiled,634.2,40.3,18.81,97.24,10.27,1546.88,156.21,9.0,15.61,32.9,700.61,1018.38,Vata:Favorable;Pitta:Unfavorable;Kapha:Favorable,"F006535,F000647,F006952,F001490,F005714,F000310"
R00056,Recipe_56_Salad,"F001902:5,F008395:25,F006355:10,F004118:10,F003881:30,F007646:20",Sauteed,153.6,3.9,2.26,28.93,1.64,355.52,47.68,3.21,3.99,7.52,181.31,401.87,Vata:Unfavorable;Pitta:Favorable;Kapha:Favorable,"F001902,F008395,F006355,F004118,F003881,F007646"
R00057,Recipe_57_Pulao,"F004160:20,F007160:40,F007725:30,F005352:30,F002785:20,F006964:40,F005442:100,F006540:60",Sauteed,1205.9,30.0,102.26,51.02,10.35,2194.5,167.69,11.41,18.36,29.95,743.5,1166.83,Vata:Favorable;Pitta:Neutral;Kapha:Favorable,"F004160,F007160,F007725,F005352,F002785,F006964,F005442,F006540"
R00058,Recipe_58_Stew,"F004868:75,F006547:10,F007560:10,F004933:20,F000626:15,F004857:5,F004572:25,F008415:25",Sauteed,368.8,16.6,24.4,30.6,8.74,1579.81,85.55,7.86,12.93,18.26,300.85,1144.24,Vata:Unfavorable;Pitta:Favorable;Kapha:Favorable,"F004868,F006547,F007560,F004933,F000626,F004857,F004572,F008415"
R00059,Recipe_59_Stirfry,"F004671:5,F007770:60,F000073:60,F000964:60,F000164:25,F001301:30,F006572:100",Fried,1108.4,46.84,89.02,88.69,8.17,2330.03,98.43,18.42,20.66,32.26,470.43,1752.16,Vata:Favorable;Pitta:Favorable;Kapha:Unfavorable,"F004671,F007770,F000073,F000964,F000164,F001301,F006572"
R00060,Recipe_60_Pulao,"F001531:25,F003556:40,F003053:15,F003535:20,F003579:30,F005127:40,F003742:75,F009663:100",Roasted,1469.4,22.46,137.56,52.47,5.88,2275.32,136.52,14.28,18.65,25.48,1031.66,1592.85,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,"F001531,F003556,F003053,F003535,F003579,F005127,F003742,F009663"
R00061,Recipe_61_Raita,"F000785:30,F003384:100",Steamed,192.0,16.0,6.78,4.26,0.39,633.51,54.51,5.76,5.18,12.91,191.11,430.13,Vata:Favorable;Pitta:Unfavorable;Kapha:Unfavorable,"F000785,F003384"
R00062,Recipe_62_Stirfry,"F008912:10,F000814:30,F009285:60,F007343:60,F009052:60,F004515:60,F006937:15",Fried,639.7,34.85,17.26,106.9,2.84,1912.33,111.87,11.99,14.25,21.08,712.88,1352.33,Vata:Unfavorable;Pitta:Neutral;Kapha:Favorable,"F008912,F000814,F009285,F007343,F009052,F004515,F006937"
R00063,Recipe_63_Raita,"F001383:100,F000050:5,F001665:100,F008484:75,F008989:40,F003041:40,F006439:100",Pressure Cooked,1102.9,51.34,63.22,103.84,26.08,2680.14,124.91,18.55,25.07,41.56,797.67,2007.31,Vata:Favorable;Pitta:Favorable;Kapha:Favorable,"F001383,F000050,F001665,F008484,F008989,F003041,F006439"
R00064,Recipe_64_Wrap,"F006588:5,F003765:75,F003900:15,F003835:75,F005459:5,F003675:10,F002947:75",Sauteed,711.6,21.98,12.88,130.53,13.62,1879.58,115.52,9.45,16.71,20.3,479.94,1479.74,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,"F006588,F003765,F003900,F003835,F005459,F003675,F002947"
R00065,Recipe_65_Dal,"F008021:75,F006168:10",Roasted,392.8,14.73,43.1,12.28,5.69,785.02,39.39,3.07,7.61,7.73,145.18,216.05,Vata:Neutral;Pitta:Favorable;Kapha:Neutral,"F008021,F006168"
R00066,Recipe_66_Stirfry,"F007529:75,F003523:10",Boiled,276.1,9.05,2.4,56.1,2.1,636.44,62.28,5.03,2.51,1.26,92.82,594.74,Vata:Neutral;Pitta:Neutral;Kapha:Favorable,"F007529,F003523"
R00067,Recipe_67_Curry,"F007322:75,F000060:15,F000559:30,F003633:25,F003388:5,F004062:5,F006601:60",Slow Cooked,716.5,18.85,57.22,47.96,17.2,1025.24,70.19,8.44,10.08,20.18,429.94,781.34,Vata:Unfavorable;Pitta:Favorable;Kapha:Neutral,"F007322,F000060,F000559,F003633,F003388,F004062,F006601"
R00068,Recipe_68_Stirfry,"F000596:10,F000161:60,F003678:30,F001832:60,F006987:10",Raw,442.1,12.49,35.19,33.03,3.85,1057.95,35.86,10.46,10.54,18.39,238.24,775.92,Vata:Favorable;Pitta:Favorable;Kapha:Neutral,"F000596,F000161,F003678,F001832,F006987"
R00069,Recipe_69_Stew,"F003764:30,F006771:60,F005906:40,F006975:25,F005661:10,F009876:20,F009984:25",Slow Cooked,352.8,24.16,14.04,26.86,4.7,953.45,93.67,10.01,4.88,12.21,175.39,663.06,Vata:Favorable;Pitta:Unfavorable;Kapha:Favorable,"F003764,F006771,F005906,F006975,F005661,F009876,F009984"
R00070,Recipe_70_Wrap,"F000600:5,F009390:50,F004193:10,F004374:75,F009459:60,F007682:5",Steamed,1101.9,23.6,103.42,19.85,7.7,1382.89,106.74,7.4,7.94,19.19,482.49,1187.44,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,"F000600,F009390,F004193,F004374,F009459,F007682"
R00071,Recipe_71_Curry,"F007448:15,F003697:10,F007170:60,F001684:50,F001569:75,F008800:30,F008560:100,F002603:40",Steamed,1279.9,35.07,91.21,85.69,18.52,1653.53,153.22,14.4,14.86,21.7,658.36,1646.53,Vata:Favorable;Pitta:Unfavorable;Kapha:Favorable,"F007448,F003697,F007170,F001684,F001569,F008800,F008560,F002603"
R00072,Recipe_72_Salad,"F008146:20,F003365:5,F005043:100,F008718:5",Roasted,739.8,31.64,59.02,30.78,14.4,1322.99,66.16,5.46,2.22,9.48,374.46,798.4,Vata:Unfavorable;Pitta:Favorable;Kapha:Favorable,"F008146,F003365,F005043,F008718"
R00073,Recipe_73_Salad,"F008154:60,F002961:25,F004619:25,F009681:25,F005011:50,F007834:40,F007114:10,F006384:5",Slow Cooked,661.4,22.83,24.78,90.78,28.69,1879.56,116.54,7.71,11.23,16.45,249.8,773.1,Vata:Neutral;Pitta:Unfavorable;Kapha:Neutral,"F008154,F002961,F004619,F009681,F005011,F007834,F007114,F006384"
R00074,Recipe_74_Stew,"F003000:60,F000851:20,F000168:75,F003670:40",Fermented,894.6,6.2,73.08,50.98,2.06,1440.14,81.95,7.07,6.02,12.73,318.22,763.95,Vata:Neutral;Pitta:Unfavorable;Kapha:Favorable,"F003000,F000851,F000168,F003670"
R00075,Recipe_75_Salad,"F002028:5,F005938:60,F006933:60,F002660:100,F008539:50,F002102:100,F003194:50,F002547:10",Sauteed,2401.6,18.93,218.0,121.34,4.07,3604.94,178.4,10.93,31.19,47.13,770.82,1842.58,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Unfavorable,"F002028,F005938,F006933,F002660,F008539,F002102,F003194,F002547"
R00076,Recipe_76_Dal,"F002499:50,F007721:25,F003953:25,F007921:40,F001024:50,F008148:60",Baked,631.6,26.96,23.84,86.43,8.81,1419.78,142.76,9.87,6.8,21.16,603.5,881.33,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,"F002499,F007721,F003953,F007921,F001024,F008148"
R00077,Recipe_77_Kheer,"F003437:100,F003940:50,F007099:50,F004215:25",Pressure Cooked,839.0,33.65,73.35,9.38,3.0,1887.11,86.3,7.37,8.1,23.13,219.57,602.36,Vata:Favorable;Pitta:Favorable;Kapha:Favorable,"F003437,F003940,F007099,F004215"
R00078,Recipe_78_Dal,"F001475:75,F004879:5",Sauteed,201.4,4.52,11.19,44.2,13.32,157.49,41.99,4.74,3.11,5.11,253.92,585.2,Vata:Favorable;Pitta:Favorable;Kapha:Favorable,"F001475,F004879"
R00079,Recipe_79_Stirfry,"F003696:15,F000774:10",Baked,127.2,0.31,14.11,1.15,0.36,259.42,9.6,1.03,1.37,2.15,42.61,115.12,Vata:Neutral;Pitta:Unfavorable;Kapha:Favorable,"F003696,F000774"
R00080,Recipe_80_Dal,"F007065:25,F006839:100,F004398:15,F001049:100,F004296:10,F003521:10",Raw,1304.6,15.7,106.02,86.57,5.28,1337.27,91.44,6.57,15.86,22.32,654.63,973.25,Vata:Favorable;Pitta:Unfavorable;Kapha:Unfavorable,"F007065,F006839,F004398,F001049,F004296,F003521"
R00081,Recipe_81_Stew,"F003579:50,F009788:50,F000397:40",Fried,177.0,11.18,7.17,12.4,2.3,889.54,58.03,6.07,7.02,12.04,357.74,461.83,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Neutral,"F003579,F009788,F000397"
R00082,Recipe_82_Kheer,"F001771:100,F001130:75,F005187:100",Pressure Cooked,436.4,23.4,4.32,75.78,12.95,980.7,138.57,8.72,14.48,12.61,346.68,1507.59,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Unfavorable,"F001771,F001130,F005187"
R00083,Recipe_83_Pulao,"F003309:75,F006313:20",Pressure Cooked,70.7,18.41,3.99,10.96,0.0,552.08,12.67,1.81,4.54,8.91,159.65,128.51,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,"F003309,F006313"
R00084,Recipe_84_Wrap,"F003972:50,F006678:15,F003315:10,F003058:20,F000946:15,F003514:25,F005407:50",Fried,318.7,19.16,15.21,30.56,9.06,884.68,78.68,7.32,8.57,12.31,434.25,290.2,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Unfavorable,"F003972,F006678,F003315,F003058,F000946,F003514,F005407"
R00085,Recipe_85_Stew,"F004991:10,F008888:60,F008434:20,F007525:15,F008872:15,F004127:5,F005615:30,F009031:75",Slow Cooked,822.0,14.61,27.31,92.4,31.97,1488.27,74.52,7.11,17.48,16.96,466.9,1116.57,Vata:Neutral;Pitta:Neutral;Kapha:Favorable,"F004991,F008888,F008434,F007525,F008872,F004127,F005615,F009031"
R00086,Recipe_86_Salad,"F006776:50,F009490:30,F005514:100,F002611:15,F004288:25,F002928:60",Boiled,558.0,33.62,5.52,88.67,15.46,1223.74,76.92,5.6,13.97,12.44,672.9,1221.91,Vata:Unfavorable;Pitta:Favorable;Kapha:Favorable,"F006776,F009490,F005514,F002611,F004288,F002928"
