FoodID,Calories_per_100g,Protein_g_per_100g,Fat_g_per_100g,Carbs_g_per_100g,Fiber_g_per_100g,Vit_A_IU_per_100g,Vit_C_mg_per_100g,Vit_D_ug_per_100g,Vit_E_mg_per_100g,Vit_B1_mg_per_100g,Iron_mg_per_100g,Calcium_mg_per_100g,Potassium_mg_per_100g,Polyphenols_mg_per_100g,Phytosterols_mg_per_100g
F000046,344.7,6.7,12.2,48.0,19.7,481.38,3.21,7.43,2.34,1.402,13.9,43.14,346.46,80.81,115.5
F000047,62.1,0.6,0.1,9.7,4.5,361.54,6.43,1.89,2.03,0.135,3.67,273.89,678.08,112.28,95.47
F000048,81.8,5.0,1.1,9.6,3.0,85.99,39.06,5.92,5.86,0.333,9.13,307.14,301.61,101.96,164.65
F000049,317.1,20.7,4.3,50.3,11.7,506.08,13.08,5.46,8.34,0.697,1.24,274.43,90.11,258.74,160.71
F000050,850.2,0.0,97.8,0.0,0.0,854.43,67.53,7.77,1.12,0.268,6.36,303.84,697.55,24.0,1.39
F000051,537.8,16.7,45.9,26.4,8.8,214.47,28.55,0.14,3.25,0.954,8.94,142.9,38.92,221.6,49.73
F000052,78.4,11.2,4.5,9.8,0.0,765.38,70.56,3.06,9.8,0.118,13.91,299.71,343.8,6.72,190.07
F000053,322.5,21.3,4.0,54.4,10.2,933.97,22.15,5.37,6.05,1.365,10.17,109.07,331.67,5.62,82.86
F000054,377.0,7.3,8.9,57.9,10.3,408.72,27.71,3.56,4.62,1.114,3.16,279.09,541.66,76.71,6.45
F000055,33.3,1.8,2.2,49.8,0.0,28.09,77.87,4.45,4.91,0.352,13.82,52.68,489.63,254.9,19.4
F000056,211.3,17.6,17.5,7.1,0.0,763.45,40.18,4.26,2.25,0.606,11.35,114.51,740.39,47.09,174.67
F000057,133.6,24.1,11.6,0.0,0.0,96.61,45.65,3.27,0.23,0.915,2.5,250.2,550.65,285.55,4.54
F000058,26.5,0.3,0.2,28.9,0.0,551.03,54.69,3.55,2.42,0.265,6.92,256.55,644.91,251.36,174.42
F000059,352.4,9.2,1.1,73.8,2.5,351.56,31.87,6.58,7.69,0.545,10.75,204.62,523.21,128.58,24.81
F000060,596.3,11.5,58.0,19.8,6.7,312.0,23.62,3.56,7.87,1.049,8.52,237.77,611.44,44.41,57.69
F000061,40.3,0.8,0.4,18.5,1.1,253.99,24.24,4.67,2.59,1.082,11.18,398.45,330.62,185.54,34.08
F000062,133.7,0.3,1.1,10.3,0.0,180.11,48.69,5.83,1.2,0.295,7.48,227.76,514.52,3.66,149.25
F000063,79.8,5.8,0.2,12.2,2.2,307.29,59.15,5.52,6.51,0.368,10.34,182.43,41.78,182.74,110.4
F000064,319.1,22.4,1.8,51.2,5.6,236.88,43.39,1.72,4.87,0.854,8.73,344.46,98.1,265.96,155.48
F000065,242.7,19.5,17.7,0.0,0.0,298.83,22.02,4.49,3.09,0.66,14.66,378.28,395.19,95.76,194.87
F000066,850.2,0.0,93.2,0.0,0.0,636.48,8.23,2.4,6.1,0.857,2.32,62.56,615.45,235.74,170.47
F000067,145.3,4.1,1.6,15.4,0.0,675.94,61.02,0.05,9.4,0.083,6.13,258.32,120.54,137.07,54.84
F000068,73.2,1.0,0.3,8.3,1.6,867.42,75.32,4.74,9.52,1.42,11.72,156.03,768.19,211.95,49.97
F000069,361.2,11.2,3.4,74.6,2.1,525.91,26.23,4.37,6.61,0.835,12.26,275.83,120.97,230.97,174.15
F000070,301.1,10.2,5.2,33.6,18.2,475.57,38.91,0.38,5.28,1.369,7.68,6.48,355.39,9.63,100.84
F000071,586.1,19.4,53.0,13.8,5.5,820.74,65.42,3.73,8.89,1.492,2.28,132.17,153.52,172.57,90.81
F000072,885.6,0.0,95.8,0.0,0.0,921.33,42.59,5.23,2.0,1.232,13.88,357.3,574.77,173.06,37.77
F000073,32.7,5.0,1.2,46.0,0.0,926.81,2.18,7.02,9.44,0.185,14.22,10.17,695.35,256.26,41.72
F000074,835.8,0.0,100.0,0.0,0.0,498.15,16.83,0.73,5.07,0.717,7.63,377.96,22.75,114.01,84.0
F000075,817.7,0.0,90.1,0.0,0.0,622.35,11.22,3.76,0.39,0.894,3.15,295.94,241.54,185.27,164.65
F000076,209.3,3.6,1.6,2.2,0.0,564.6,58.8,1.15,4.08,0.809,11.44,289.01,144.09,30.03,69.73
F000077,119.2,24.8,9.2,0.0,0.0,736.33,57.31,3.82,7.49,1.278,2.94,87.72,112.55,282.69,45.11
F000078,70.4,1.8,0.8,9.4,2.7,793.44,46.35,7.48,0.34,1.359,5.78,19.21,166.34,54.65,28.59
F000079,826.3,0.0,94.4,0.0,0.0,893.95,52.44,4.12,3.37,1.495,2.79,136.39,698.86,231.6,91.26
F000080,142.5,0.6,1.7,22.6,0.0,663.96,75.16,7.73,9.72,0.274,12.3,354.25,413.61,42.51,136.11
F000081,31.7,3.4,3.2,42.9,0.0,271.51,74.45,5.73,5.41,1.433,6.36,80.88,48.64,290.74,80.17
F000082,189.1,16.0,15.8,0.0,0.0,168.36,38.47,1.28,9.72,1.465,14.68,156.5,135.96,125.7,118.28
F000083,83.2,0.3,0.2,12.6,1.4,754.25,37.69,5.28,2.99,0.187,11.14,181.75,65.62,293.7,182.1
F000084,357.9,7.3,1.4,78.0,2.2,718.86,29.0,6.95,6.65,1.255,14.45,168.67,514.07,259.55,56.04
F000085,118.2,3.3,0.5,39.0,0.0,850.23,44.85,6.7,3.76,0.778,13.88,153.03,485.31,177.1,158.72
F000086,55.9,3.4,1.4,16.6,4.1,933.16,53.53,0.21,5.67,0.036,14.19,39.52,737.33,240.57,145.81
F000087,61.9,4.6,1.2,16.1,1.9,599.8,7.11,2.81,5.38,1.208,14.49,126.61,251.61,274.25,18.09
F000088,858.2,0.0,99.1,0.0,0.0,840.27,44.84,6.05,5.38,0.597,10.43,79.45,81.53,179.39,175.39
F000089,338.5,5.3,10.5,50.0,15.5,593.39,66.66,7.87,2.45,0.339,9.72,86.39,19.81,73.1,4.15
F000090,141.3,4.9,4.0,13.2,0.0,444.27,72.0,7.5,3.2,0.536,14.37,53.8,689.36,295.88,49.38
F000091,93.1,2.9,0.3,30.9,0.0,596.56,34.89,7.63,1.71,0.84,8.38,23.02,284.61,260.27,29.58
F000092,53.1,1.3,0.9,24.0,1.6,647.54,54.51,2.52,0.07,0.914,10.68,143.34,104.55,293.21,122.77
F000093,74.4,2.6,0.8,17.3,1.9,373.43,14.19,3.44,2.52,0.136,3.91,80.24,287.45,194.17,16.31
F000094,335.3,10.8,3.3,73.0,1.1,206.87,50.92,3.99,5.35,1.464,1.45,273.27,132.19,112.25,35.39
F000095,201.6,6.7,3.4,3.5,0.0,186.3,49.06,2.7,4.55,0.988,12.48,313.63,755.77,200.61,13.09
F000096,113.6,24.8,18.5,0.0,0.0,675.6,56.18,4.17,7.57,0.965,4.24,54.19,613.18,87.89,125.27
F000097,128.2,16.3,18.2,0.0,0.0,897.42,45.7,1.39,3.14,0.072,0.42,386.71,314.07,105.53,107.55
F000098,14.6,1.0,1.0,32.0,0.0,18.71,73.77,1.65,6.89,1.386,0.07,96.15,652.77,249.39,196.88
F000099,894.0,0.0,96.5,0.0,0.0,1096.48,32.74,0.08,8.24,0.566,12.64,75.8,625.59,76.03,2.09
F000100,128.4,9.3,21.5,4.1,0.0,913.19,31.59,7.08,2.02,0.13,12.7,80.32,419.4,10.71,95.76
F000101,346.1,23.1,1.2,50.1,6.1,1031.39,20.06,1.4,4.62,1.352,0.85,152.01,757.99,151.68,45.05
F000102,340.5,9.2,3.5,71.4,2.9,444.45,11.48,0.83,2.34,0.572,8.44,325.48,617.27,35.89,44.9
F000103,171.9,28.5,10.7,0.0,0.0,1055.33,17.91,2.29,7.31,1.445,5.83,102.88,136.65,222.0,86.35
F000104,190.5,2.3,1.7,33.3,0.0,159.74,42.39,1.97,7.13,0.853,14.22,291.72,629.46,109.02,92.68
F000105,53.6,1.8,0.7,23.9,2.7,1131.84,1.91,1.65,5.67,0.259,14.75,272.25,617.7,192.37,115.01
F000106,16.9,0.5,1.3,2.9,5.3,375.95,72.14,1.62,1.51,0.32,12.61,145.18,728.3,175.03,165.65
F000107,342.0,20.0,4.4,52.5,5.8,1134.48,72.73,0.78,0.39,1.32,7.09,190.75,616.04,175.85,197.55
F000108,132.0,11.7,4.6,9.9,0.0,949.16,53.51,7.69,3.21,1.067,14.23,33.23,486.22,239.8,3.19
F000109,61.4,1.0,0.1,20.5,4.0,549.71,6.42,4.41,1.31,1.467,9.36,293.86,25.18,114.2,180.91
F000110,848.9,0.0,92.7,0.0,0.0,1096.03,73.5,0.68,6.66,0.478,7.63,45.41,650.5,241.87,21.41
F000111,60.5,2.3,1.0,13.0,1.3,166.46,73.44,7.41,1.86,1.077,1.37,173.19,551.62,63.07,143.4
F000112,16.4,5.9,0.5,17.8,3.9,227.21,9.92,6.09,1.88,1.273,11.34,91.09,321.79,250.81,59.34
F000113,849.4,0.0,99.0,0.0,0.0,72.48,60.45,3.44,6.74,1.348,6.69,390.87,542.86,95.52,154.28
F000114,318.8,25.0,1.8,55.9,5.3,423.47,37.2,3.69,9.23,1.27,14.58,185.45,720.28,135.65,28.42
F000115,269.0,7.7,6.5,40.1,10.4,470.68,24.28,7.64,5.49,0.342,7.3,289.49,351.96,284.2,31.96
F000116,317.7,7.2,11.2,48.3,22.0,635.56,27.29,2.99,6.89,0.192,8.48,189.41,23.99,111.0,49.22
F000117,391.6,9.3,13.1,37.5,21.3,1068.67,25.08,7.05,3.84,0.223,4.82,211.69,375.52,270.13,189.43
F000118,48.6,1.3,0.5,7.8,5.9,725.73,42.9,6.59,6.46,1.437,8.96,48.14,589.4,220.65,38.99
F000119,807.9,0.0,94.6,0.0,0.0,1091.77,11.81,5.01,5.55,0.891,11.38,43.1,226.11,82.78,141.26
F000120,352.3,8.4,2.3,76.7,1.1,339.49,45.25,4.55,8.83,0.084,10.76,52.75,60.46,20.37,30.31
F000121,388.9,8.8,5.9,36.2,13.2,915.32,69.49,1.82,0.57,1.025,0.36,257.16,560.86,143.61,8.44
F000122,192.0,3.9,15.2,3.7,0.0,699.29,0.57,5.61,5.82,0.552,13.48,65.67,178.09,160.87,183.04
F000123,340.3,8.1,14.7,50.2,25.4,245.51,9.02,3.1,1.07,1.4,3.08,303.9,591.2,89.58,137.95
F000124,291.3,11.6,8.9,39.8,29.7,722.18,13.22,3.93,5.61,0.428,14.8,342.94,206.33,184.91,176.88
F000125,81.9,0.9,0.4,18.8,2.2,41.99,9.61,1.13,4.57,1.398,14.75,365.83,105.06,191.01,190.48
F000126,343.9,19.1,1.3,56.8,5.2,596.91,66.44,3.3,9.73,0.865,0.66,25.2,617.93,84.25,56.31
F000127,80.1,1.6,0.4,8.6,2.5,984.86,43.57,2.99,9.02,1.089,8.11,128.28,515.06,122.1,116.04
F000128,94.7,1.4,0.5,16.7,3.7,1067.69,27.48,7.35,9.83,0.218,5.12,253.08,598.39,255.33,114.74
F000129,874.0,0.0,96.8,0.0,0.0,945.27,39.13,2.6,8.36,0.56,14.05,209.25,657.3,65.72,70.23
F000130,34.2,1.7,1.0,19.1,2.0,19.46,23.66,1.66,8.28,1.021,1.01,181.04,103.97,283.46,132.32
F000131,832.0,0.0,90.3,0.0,0.0,840.76,68.89,3.07,5.39,0.147,10.33,248.09,287.33,291.41,98.06
F000132,314.5,24.9,1.1,53.1,10.4,1025.57,17.32,3.28,0.1,0.193,12.94,312.33,749.08,133.33,100.41
F000133,66.3,0.5,0.8,41.9,0.0,238.95,38.9,0.05,7.76,1.21,13.58,308.99,44.66,54.8,68.01
F000134,206.3,28.5,9.3,0.0,0.0,652.18,33.49,0.27,4.36,1.053,1.0,34.9,703.45,199.41,94.93
F000135,76.0,20.4,5.5,5.3,0.0,671.6,18.58,1.18,1.33,1.052,0.17,24.0,632.59,33.83,133.18
F000136,192.7,16.8,21.6,2.6,0.0,800.5,68.63,1.16,7.61,0.717,14.85,29.04,140.14,188.08,82.7
F000137,883.6,0.0,92.2,0.0,0.0,1089.01,38.35,7.6,5.1,0.61,13.08,254.14,200.66,156.38,99.43
F000138,60.7,2.7,1.6,15.4,0.0,1138.2,40.92,3.09,8.71,1.033,10.43,369.38,488.11,198.3,114.8
F000139,431.4,9.0,8.5,39.2,26.5,621.21,32.92,2.11,4.24,0.989,11.52,356.22,120.03,230.97,59.0
F000140,158.0,4.2,0.9,32.4,0.0,596.35,19.65,3.87,2.71,0.852,8.06,58.54,488.73,75.76,193.3
F000141,303.1,21.0,4.9,56.0,8.3,464.26,9.56,1.45,3.61,1.202,0.82,338.87,229.11,164.55,53.68
F000142,28.4,3.9,0.9,6.8,3.8,1008.92,12.14,4.43,3.17,0.33,12.09,330.05,170.48,184.89,190.89
F000143,46.7,0.8,0.6,17.8,2.5,256.07,8.03,0.66,7.12,0.664,11.09,153.79,495.89,114.05,108.25
F000144,120.2,3.5,1.9,39.4,0.0,248.56,25.14,3.24,2.49,0.436,3.46,240.17,381.07,7.28,187.05
F000145,337.4,7.6,4.6,72.1,1.3,262.96,46.84,4.14,5.31,0.294,0.54,152.58,47.9,68.57,141.42
F000146,41.7,0.4,0.9,18.2,3.3,939.72,69.75,6.93,7.41,0.432,7.05,169.31,142.66,5.15,192.27
F000147,314.7,18.1,4.4,57.7,8.6,24.86,40.36,0.45,1.35,0.073,2.34,52.92,690.73,250.28,114.77
F000148,333.0,23.1,4.6,54.7,9.5,623.59,62.91,4.62,8.38,0.608,3.77,374.75,141.85,257.38,25.25
F000149,45.1,1.6,0.8,15.1,3.4,910.51,11.19,6.35,3.96,0.213,13.51,361.47,209.81,119.77,142.58
F000150,829.4,0.0,98.2,0.0,0.0,661.93,3.24,7.85,8.47,0.102,4.97,124.14,410.31,3.32,20.26
F000151,338.4,10.8,3.3,77.1,2.5,520.09,41.12,5.33,5.48,1.123,7.59,399.46,131.13,247.41,66.03
F000152,288.9,7.3,14.7,5.3,0.0,991.11,12.13,4.38,2.55,1.374,0.01,26.49,688.48,79.65,96.53
F000153,194.7,19.9,5.6,0.0,0.0,818.35,57.33,4.16,2.79,0.891,13.45,90.48,27.56,145.02,65.63
F000154,345.3,8.5,2.6,74.5,1.6,290.99,49.84,7.59,6.63,1.162,13.89,22.76,330.68,129.65,82.84
F000155,36.9,3.8,0.9,17.4,1.5,98.77,58.99,1.2,4.29,1.345,14.02,317.44,560.93,45.57,10.27
F000156,250.0,11.5,12.9,56.9,26.5,588.43,21.39,2.33,8.37,0.108,9.19,55.45,375.25,255.72,31.48
F000157,544.0,24.1,48.0,26.1,6.6,1181.52,24.75,2.61,2.41,0.223,2.33,31.78,474.27,35.32,21.53
F000158,437.5,6.5,9.7,31.0,13.1,229.79,5.28,0.25,8.53,0.378,2.8,199.05,530.08,119.25,141.83
F000159,814.8,0.0,98.8,0.0,0.0,288.03,48.31,7.66,9.07,1.081,6.27,308.34,508.91,213.41,160.04
F000160,91.0,3.6,2.7,26.9,0.0,906.93,3.56,2.66,4.07,0.941,11.88,189.81,703.81,278.71,182.82
F000161,534.4,14.4,56.4,14.8,5.0,57.32,6.09,6.43,5.35,1.349,14.1,6.54,696.15,219.83,153.36
F000162,102.1,21.4,8.6,0.0,0.0,294.72,38.39,0.8,9.31,1.097,2.54,116.93,213.1,48.56,85.29
F000163,97.6,0.5,0.5,9.2,4.1,935.45,37.22,0.98,6.68,0.417,1.25,315.6,289.06,116.36,37.86
F000164,504.5,27.1,55.9,18.6,10.7,931.03,32.2,1.34,6.21,0.725,8.8,278.94,781.15,223.4,166.9
F000165,864.9,0.0,94.2,0.0,0.0,1005.02,77.57,6.9,0.85,1.265,8.92,224.56,102.03,40.73,98.87
F000166,599.7,30.0,53.9,26.3,12.0,336.8,67.98,7.85,9.75,0.546,7.47,295.45,331.43,7.84,57.03
F000167,46.3,1.4,4.2,27.5,0.0,649.57,68.74,6.49,5.49,0.866,10.36,118.88,446.37,89.26,179.07
F000168,846.9,0.0,93.6,0.0,0.0,650.36,21.14,4.73,5.61,1.191,1.23,67.35,522.3,170.7,173.34
F000169,178.2,8.2,11.3,6.9,0.0,466.13,66.0,2.34,1.36,1.461,6.17,231.33,222.79,184.92,177.91
F000170,326.6,6.2,5.0,76.0,2.5,820.88,10.64,1.75,9.59,0.862,9.78,286.89,665.68,4.13,21.39
F000171,312.4,20.5,4.5,58.6,9.6,587.9,75.93,3.5,2.52,0.65,2.38,312.56,668.62,224.5,104.86
F000172,44.1,1.8,0.9,24.3,2.1,576.42,35.05,1.07,7.81,0.968,5.77,394.6,445.88,192.57,28.94
F000173,348.6,23.3,3.7,55.6,9.3,958.79,42.39,1.46,4.97,0.792,2.24,7.83,617.11,230.91,83.95
F000174,56.6,1.4,0.9,12.8,4.4,428.26,60.71,4.26,4.93,0.646,8.44,275.89,91.52,268.78,46.26
F000175,315.4,24.4,2.6,59.9,9.5,1067.76,71.45,0.75,9.24,0.918,1.4,100.13,482.68,223.93,187.65
F000176,60.0,18.3,23.4,8.0,0.0,667.54,13.14,5.91,9.81,0.858,10.01,77.02,659.63,70.27,9.04
F000177,88.4,1.0,0.7,22.0,1.6,453.7,13.71,0.28,1.75,1.264,6.31,33.93,134.45,21.96,83.01
F000178,190.7,2.1,3.1,39.7,0.0,335.01,20.82,1.71,7.33,1.158,0.3,162.33,306.67,160.63,185.45
F000179,322.6,7.1,4.5,76.4,1.5,60.91,68.66,4.35,0.74,0.809,1.25,210.03,83.89,78.34,109.78
F000180,16.4,4.7,0.7,14.3,6.0,405.22,2.65,0.09,0.27,0.997,0.36,323.84,33.97,96.75,151.51
F000181,89.1,2.2,1.0,16.3,3.5,347.83,23.37,1.27,5.46,0.222,10.02,216.01,236.88,156.67,153.6
F000182,364.3,8.3,3.5,70.7,2.4,330.1,12.0,3.02,1.23,0.619,11.97,204.67,792.63,110.87,9.8
F000183,855.8,0.0,96.2,0.0,0.0,943.83,1.36,5.0,6.36,1.408,13.87,73.91,60.97,80.34,9.4
F000184,99.7,4.7,2.6,18.9,0.0,916.62,42.27,0.51,2.68,0.232,0.98,278.66,499.07,88.55,34.17
F000185,37.3,1.9,0.3,15.3,1.2,468.22,75.64,5.05,1.57,1.419,5.6,116.24,700.04,55.98,157.73
F000186,181.3,23.2,19.5,7.8,0.0,442.05,44.49,4.01,1.78,1.473,4.97,388.99,377.89,249.53,12.31
F000187,360.3,10.8,1.4,75.7,1.9,559.74,70.29,0.99,0.48,1.463,3.62,36.57,546.24,147.77,26.94
F000188,877.9,0.0,97.2,0.0,0.0,629.37,0.67,7.29,2.09,0.04,12.16,234.44,274.32,124.51,109.95
F000189,64.4,2.7,1.0,8.2,5.4,91.5,48.3,6.47,8.71,0.959,8.63,43.54,240.87,69.4,105.98
F000190,841.8,0.0,90.9,0.0,0.0,1120.53,55.63,6.86,2.94,0.78,6.11,298.86,665.37,189.14,155.6
F000191,338.1,8.4,3.4,76.5,2.5,463.54,54.79,0.58,9.4,0.319,14.29,307.04,210.68,102.16,10.41
F000192,517.4,16.1,51.1,25.9,11.9,936.29,27.41,1.9,8.63,1.369,11.05,211.44,331.89,63.59,129.03
F000193,307.2,6.3,5.2,59.9,29.8,699.48,13.25,6.05,7.06,0.936,9.39,306.65,462.45,112.76,156.1
F000194,584.8,15.9,55.4,27.7,9.0,950.76,68.55,7.63,8.91,0.163,12.59,322.83,186.19,234.16,155.25
F000195,328.7,7.3,3.2,78.0,1.5,728.08,26.06,5.3,9.08,0.975,13.48,208.08,529.23,168.35,3.5
F000196,331.2,10.3,10.4,34.4,23.2,112.2,44.05,4.58,3.45,0.946,13.85,86.65,453.82,242.62,19.65
F000197,73.7,2.2,0.8,13.3,1.2,35.34,76.74,3.83,2.24,0.01,12.78,173.7,318.63,265.57,12.52
F000198,304.8,22.4,1.3,57.4,5.4,489.35,14.18,5.04,1.96,0.874,6.65,164.45,123.48,218.99,44.1
F000199,551.7,21.1,41.8,27.4,10.1,991.21,73.83,7.38,9.82,0.848,13.99,26.72,624.41,6.82,187.31
F000200,53.6,0.9,0.1,17.3,5.5,197.13,8.13,4.82,0.0,0.169,11.26,95.19,415.5,200.89,26.47
F000201,832.3,0.0,91.4,0.0,0.0,474.71,40.82,7.78,0.95,0.413,14.92,94.6,171.86,75.04,20.32
F000202,180.4,17.7,13.7,0.0,0.0,313.32,74.45,3.36,5.73,0.51,12.45,313.76,552.56,131.38,151.58
F000203,332.7,22.5,2.6,59.3,5.8,573.99,4.89,6.89,4.96,1.35,7.77,323.04,689.48,4.64,152.91
F000204,189.4,12.8,3.5,4.1,0.0,683.32,58.6,4.18,7.7,0.261,14.73,55.5,458.61,290.67,150.99
F000205,85.9,1.9,0.7,11.1,4.4,519.78,57.54,5.73,2.51,1.454,9.73,119.25,488.42,253.84,121.95
F000206,92.7,1.0,0.5,10.5,4.1,788.07,2.1,4.92,2.75,1.17,14.45,25.39,505.98,292.01,98.98
F000207,547.7,20.5,48.0,13.7,9.4,284.98,4.15,2.15,0.3,1.342,5.41,397.79,310.94,185.86,137.12
F000208,54.7,1.7,0.4,18.5,3.5,159.72,42.62,4.61,2.69,0.587,13.0,346.52,163.71,288.14,184.75
F000209,294.3,9.9,8.4,48.2,23.7,122.66,68.84,7.52,1.06,1.066,5.54,10.26,520.2,155.68,191.25
F000210,111.2,27.5,18.5,0.0,0.0,718.8,13.19,1.59,8.33,0.5,3.54,317.38,77.95,109.27,78.91
F000211,339.5,7.2,5.2,48.6,29.1,179.62,69.14,6.42,2.83,1.155,1.31,310.53,150.09,114.88,105.84
F000212,80.4,4.5,4.7,27.9,0.0,1095.47,62.07,3.33,9.56,1.296,8.75,166.21,605.89,161.67,55.91
